"id","score","content","date","time","device","opt_times"
"3296","-0.5574","Farmers were his base they helped elect Trump
""Trump owes farmers like myself some type of plan of action"" said John Wesley Boyd Jr. A soybean farmer from W Va ""Now It's turning back"" he added
Farmers get impatient with Trump's trade war: 'This can't go on
 …","05-13",NULL,NULL,"0"
"3297","-0.1901","Maybe just a coincidence but you tell me 

Bitcoin is winning the trade war while China and US is a lose-lose pic.twitter.com/8FmVcaHjjh","05-13",NULL,NULL,"0"
"3298","-0.8591","On tv today, one of the GOP’s biggest scumbags Tom Cotton said the sacrifice that American consumers are facing in regards to the trade war tariffs he supports mean nothing because at least they aren’t being killed in battle.

Cotton isn’t only corrupt, he sacrifices nothing.","05-13",NULL,NULL,"0"
"3299","-0.9325","Thought for the day: 

Both the US and Chinese economies get hurt in a trade war. And who gets hurt more is not really the big question. The big question is who can withstand the pain the longest...","05-13",NULL,NULL,"0"
"3300","-0.9423","Trump is betting the farm on a deeply dangerous trade war—other people's farms. There's a need to be tough on China, but the total lack of any strategy—only chaos & conflict—are roiling the markets. Soon the economy will feel the brunt, & costly burden.","05-13",NULL,NULL,"0"
"3301","-0.876","This is insanity in its purest form.
We are in a ""Trade War"" with China.
So we are not selling crops to them, because they won't buy them.
So we are borrowing money from China to pay for the crops they are not buying.
And giving that money to the farmers that can't sell the crops","05-13",NULL,NULL,"0"
"3302","-0.3182","Donald Trump is the only National Security Emergency in the United States of America. #ImpeachTrump
#DumpTrumpNow
#BillionDollarLoser

Farmers turn against Trump's trade war
 …","05-13",NULL,NULL,"0"
"3303","-0.9325","The US has been in a trade war with China for decades.

To think otherwise is naive.

The difference now is the saboteurs on our side are no longer in control & we have a GENERAL in Donald Trump thats leading the US into battle.

A battle hes been preparing to fight for decades.","05-13",NULL,NULL,"0"
"3304","-0.6351","Boo-f'ing-hoo! We ""libtards"" told you. You get no sympathy from me. Now you'll have more time for #FarmersOnlyDotCom, you #PresidentDraftDodger miscreants!

Farmers turn against Trump's trade war @CNN ","05-13",NULL,NULL,"0"
"3305","-0.9042","US suffered stock market ‘freefall’ after Trump’s trade war with China backfired: MSNBC host describes absolute disaster

 / …","05-13",NULL,NULL,"0"
"3306","-0.2382","Today's @bopinion post is about Trump's trade war.

His goal might be to thump his chest and seem tough. But it also might be to hurt China and slow or halt its rise as a great power.

So don't expect Trump to care if and when Americans get hurt.

 …","05-13",NULL,NULL,"0"
"3307","-0.2023","WATCH: ""China engages in business practices that are subversive. Yes. If you want to change that behavior, you have to do something-- I just think this is incredibly self-defeating.""

- @johniadarola on Trump's trade war with China. pic.twitter.com/zvo1WrdAFW","05-13",NULL,NULL,"0"
"3308","-0.765","Why is the U.S. in a trade war? Trump points to the large U.S. trade deficit  pic.twitter.com/KqOOuls3vL","05-13",NULL,NULL,"0"
"3309","-0.5859","Sen. Tom Cotton's defense of Trump's trade war with China has some people stunned. ","05-13",NULL,NULL,"0"
